time,open,high,low,close,Entry,Stop,Target,MA fast,MA slow,Exh Top,Exh Bot,EMA 9,EMA 21,EMA 50,EMA 200,VWAP,VWAP +1σ,VWAP -1σ,Volume
1767330000,25625.75,25644,25612.5,25639,,,,25576.975,25642.675,0,0,25587.631562874496,25587.14761057949,25632.12538473454,25643.28382882935,25540.76442082207,25598.962732926248,25482.566108717892,3015
1767333600,25638.25,25650,25634,25636.5,,,,25580.325,25641.2,0,0,25597.4052502996,25591.6341914359,25632.29693827436,25643.21632804498,25541.869892916122,25600.674993792636,25483.064792039608,2254
1767337200,25636.25,25647.5,25624.75,25637.5,,,,25582.975,25639.26,0,0,25605.42420023968,25595.80381039627,25632.50097991066,25643.15944915896,25543.20507903075,25602.652272884203,25483.7578851773,2898
1767340800,25637.75,25718.5,25637,25710.25,,,,25588.0125,25638.48,0,0,25626.389360191744,25606.208009451155,25635.549961090634,25643.827016829022,25549.13964670148,25614.079963275726,25484.19933012723,8749
1767344400,25709,25740.5,25705.25,25733,,,,25593.2125,25638.25,0,0,25647.711488153396,25617.734554046503,25639.37153124394,25644.714310193907,25554.14953731831,25624.57791740554,25483.72115723108,6239
1767348000,25734,25737.25,25707.5,25730.75,,,,25594.6,25638.335,0,0,25664.319190522718,25628.00868549682,25642.955000606926,25645.57038670939,25556.971823632673,25630.135978317536,25483.80766894781,3701
1767351600,25730.25,25742.75,25714,25727.25,,,,25600.6875,25638.805,0,0,25676.905352418173,25637.03062317893,25646.260686857633,25646.383119179944,25559.685710764632,25635.348368904182,25484.02305262508,3616
1767355200,25726.25,25727.25,25680,25703,,,,25608.0875,25638.09,0,0,25682.12428193454,25643.027839253573,25648.485757961254,25646.946471227904,25563.6401736612,25641.871060165817,25485.40928715658,6447
1767358800,25703.25,25709,25679.25,25692.75,,,,25612.475,25637.165,0,0,25684.24942554763,25647.548035685068,25650.221610590226,25647.4022277331,25567.41596017691,25647.534928249188,25487.29699210463,7008
1767362400,25692,25803.75,25638.25,25733,,,,25620.05,25637.28,0,0,25693.999540438104,25655.316396077335,25653.46782193963,25648.25394686013,25605.924705393663,25703.063106266545,25508.78630452078,78047
1767366000,25733.75,25780,25360.5,25375,,,,25608.0875,25630.13,0,0,25630.199632350483,25629.83308734303,25642.5475151969,25645.535002115255,25577.846107112287,25671.905018643665,25483.78719558091,123388
1767369600,25375.75,25427.25,25293.75,25341.5,,,,25598.375,25622.43,0,0,25572.459705880385,25603.620988493665,25630.741730287216,25642.50977821361,25354.166666666668,25354.166666666668,25354.166666666668,85880
1767373200,25341.25,25405.5,25310.75,25323.75,,,,25591.8,25614.63,0,0,25522.717764704306,25578.17817135788,25618.702838903402,25639.33803912691,25351.769176331414,25355.266778006535,25348.271574656294,40352
1767376800,25323.5,25363.75,25265.25,25295,,,,25584.8125,25605.395,0,0,25477.174211763446,25552.434701234433,25606.008609926797,25635.91178998137,25341.86289940345,25360.43491417541,25323.290884631493,36928
1767380400,25294.5,25457,25288.5,25399.5,,,,25579.9375,25598.505,0,0,25461.639369410757,25538.531546576756,25597.910233066923,25633.559433862152,25350.14222056104,25373.254473801728,25327.02996732035,42851
1767384000,25399.5,25450.5,25362,25385.5,,,,25573.675,25591.815,0,0,25446.411495528606,25524.61958779705,25589.580420005474,25631.0911807889,25359.69758209609,25388.143083987165,25331.252080205017,49665
1767387600,25385,25415,25379.25,25394.5,,,,25565.625,25585.13,0,0,25436.029196422885,25512.790534360953,25581.93020745624,25628.737039686523,25361.41743943347,25390.24419442838,25332.59068443856,12624
1767567600,25431.75,25463.25,25406.5,25457,,,,25558.2875,25579.62,0,0,25440.223357138308,25507.718667600868,25577.030983634428,25627.028213420985,25364.24374867366,25396.21868145767,25332.26881588965,9721
1767571200,25459.25,25479.5,25434.75,25466.75,,,,25550.3625,25574.715,0,0,25445.528685710648,25503.994243273515,25572.706239178176,25625.433405327243,25366.476231171724,25401.23507145207,25331.71739089138,6613
